"sex","age","region","placesize","depress","income","ls","marital","workab"
"FEMALE",57,"Lubuskie","URBAN 100,000-200,000",6,800,"PLEASED","MARRIED","NO"
"MALE",20,"Podlaskie","RURAL AREAS",0,350,"MOSTLY SATISFIED","SINGLE","NO"
"FEMALE",18,"Mazowieckie","URBAN 500,000 AND OVER",0,NA,"PLEASED","SINGLE",NA
"FEMALE",78,"Podlaskie","RURAL AREAS",16,900,"MIXED","WIDOWED","NO"
"FEMALE",54,"Zachodnio-pomorskie","URBAN 100,000-200,000",4,1500,"MOSTLY SATISFIED","MARRIED","NO"
"MALE",20,"Slaskie","URBAN 100,000-200,000",5,-8,"PLEASED","SINGLE","NO"
"FEMALE",39,"Wielkopolskie","RURAL AREAS",2,2000,"MOSTLY SATISFIED","MARRIED","NO"
"MALE",39,"Lubuskie","URBAN 100,000-200,000",4,1197,"MIXED","MARRIED","NO"
"FEMALE",43,"Swietokrzyskie","RURAL AREAS",0,580,"MOSTLY SATISFIED","MARRIED","NO"
"FEMALE",63,"Dolnoslaskie","URBAN BELOW 20,000",6,1400,"PLEASED","MARRIED","NO"
"FEMALE",38,"Kujawsko-pomorskie","URBAN 100,000-200,000",0,1500,"MOSTLY DISSATISFIED","MARRIED","YES"
"FEMALE",73,"Slaskie","URBAN 200,000-500,000",6,1700,"PLEASED","WIDOWED","NO"
"FEMALE",54,"Slaskie","URBAN 200,000-500,000",4,2000,"MOSTLY SATISFIED","WIDOWED","NO"
"MALE",30,"Zachodnio-pomorskie","URBAN 200,000-500,000",3,900,"MOSTLY SATISFIED","SINGLE","NO"
"MALE",68,"Pomorskie","RURAL AREAS",3,-8,"DELIGHTED","MARRIED","NO"
"MALE",61,"Mazowieckie","RURAL AREAS",0,-8,"MIXED","MARRIED","NO"
"MALE",84,"Slaskie","RURAL AREAS",11,2000,"PLEASED","SINGLE","NO"
"FEMALE",87,"Lodzkie","URBAN 500,000 AND OVER",11,1400,"MIXED","DIVORCED","NO"
"MALE",47,"Slaskie","URBAN 100,000-200,000",1,560,"PLEASED","MARRIED","NO"
"MALE",45,"Podkarpackie","RURAL AREAS",4,530,"PLEASED","MARRIED","NO"
"FEMALE",60,"Podkarpackie","RURAL AREAS",8,700,"MIXED","MARRIED","NO"
"MALE",27,"Mazowieckie","RURAL AREAS",0,1000,"PLEASED","SINGLE","NO"
"FEMALE",49,"Lubelskie","URBAN 20,000-100,000",1,-8,"PLEASED","MARRIED","NO"
"FEMALE",58,"Slaskie","URBAN 200,000-500,000",2,3500,"MOSTLY SATISFIED","MARRIED","NO"
"MALE",30,"Podkarpackie","RURAL AREAS",0,1600,"PLEASED","SINGLE","NO"
"MALE",59,"Malopolskie","URBAN 100,000-200,000",9,1300,"PLEASED","MARRIED","NO"
"FEMALE",26,"Dolnoslaskie","URBAN 500,000 AND OVER",1,1500,"MOSTLY SATISFIED","SINGLE","YES"
"FEMALE",35,"Mazowieckie","URBAN BELOW 20,000",4,1300,"MIXED","SINGLE","NO"
"MALE",17,"Zachodnio-pomorskie","URBAN BELOW 20,000",2,NA,"MIXED","SINGLE",NA
"FEMALE",40,"Lubelskie","URBAN 20,000-100,000",1,2000,"MOSTLY SATISFIED","DIVORCED","NO"
"FEMALE",75,"Wielkopolskie","RURAL AREAS",12,1157,"PLEASED","MARRIED","NO"
"MALE",21,"Kujawsko-pomorskie","RURAL AREAS",1,NA,"PLEASED","SINGLE",NA
"FEMALE",43,"Dolnoslaskie","RURAL AREAS",4,1000,"MOSTLY SATISFIED","MARRIED","NO"
"MALE",34,"Dolnoslaskie","RURAL AREAS",2,4000,"PLEASED","MARRIED","NO"
"FEMALE",35,"Kujawsko-pomorskie","RURAL AREAS",1,800,"PLEASED","MARRIED","NO"
"MALE",47,"Malopolskie","URBAN 100,000-200,000",6,1200,"MIXED","MARRIED","NO"
"MALE",20,"Warminsko-mazurskie","URBAN 100,000-200,000",0,-8,"PLEASED","SINGLE",NA
"MALE",71,"Podlaskie","RURAL AREAS",7,1000,"PLEASED","MARRIED","NO"
"FEMALE",41,"Lodzkie","RURAL AREAS",3,NA,"PLEASED","MARRIED","NO"
"MALE",60,"Slaskie","RURAL AREAS",10,900,"MOSTLY DISSATISFIED","SINGLE","NO"
"MALE",74,"Mazowieckie","URBAN 100,000-200,000",2,1500,"MOSTLY SATISFIED","MARRIED","NO"
"FEMALE",52,"Swietokrzyskie","URBAN 20,000-100,000",7,2000,"PLEASED","MARRIED","NO"
"MALE",25,"Zachodnio-pomorskie","URBAN BELOW 20,000",3,NA,"MOSTLY DISSATISFIED","SINGLE",NA
"MALE",77,"Lodzkie","RURAL AREAS",16,940,"MIXED","MARRIED","NO"
"FEMALE",20,"Pomorskie","URBAN 20,000-100,000",3,NA,"MOSTLY SATISFIED","SINGLE",NA
"MALE",40,"Malopolskie","URBAN BELOW 20,000",0,1890,"PLEASED","MARRIED","NO"
"FEMALE",31,"Lubelskie","RURAL AREAS",4,1050,"MOSTLY SATISFIED","DIVORCED","NO"
"MALE",64,"Dolnoslaskie","RURAL AREAS",8,1600,"DELIGHTED","MARRIED","NO"
"FEMALE",30,"Wielkopolskie","URBAN 100,000-200,000",0,1600,"PLEASED","SINGLE","NO"
"FEMALE",27,"Lodzkie","RURAL AREAS",0,1400,"MOSTLY SATISFIED","SINGLE","NO"
"MALE",24,"Wielkopolskie","RURAL AREAS",0,-8,"PLEASED","SINGLE","YES"
"MALE",83,"Zachodnio-pomorskie","URBAN 20,000-100,000",9,1600,"MOSTLY SATISFIED","MARRIED","NO"
"FEMALE",21,"Malopolskie","RURAL AREAS",0,-8,"MOSTLY SATISFIED","SINGLE","NO"
"FEMALE",37,"Warminsko-mazurskie","RURAL AREAS",1,-8,"PLEASED","MARRIED","NO"
"FEMALE",80,"Opolskie","URBAN 100,000-200,000",12,1200,"MIXED","MARRIED","NO"
"MALE",29,"Slaskie","RURAL AREAS",3,2300,"MOSTLY SATISFIED","MARRIED","NO"
"MALE",48,"Pomorskie","RURAL AREAS",1,1700,"MOSTLY SATISFIED","MARRIED","NO"
"FEMALE",57,"Zachodnio-pomorskie","URBAN BELOW 20,000",3,NA,"PLEASED","MARRIED","NO"
"MALE",57,"Lodzkie","URBAN 500,000 AND OVER",5,3000,"PLEASED","MARRIED","NO"
"MALE",55,"Slaskie","URBAN 200,000-500,000",3,2000,"MOSTLY SATISFIED","MARRIED","NO"
"FEMALE",75,"Pomorskie","RURAL AREAS",8,901,"MOSTLY SATISFIED","MARRIED","NO"
"FEMALE",81,"Slaskie","URBAN 200,000-500,000",13,1040,"MOSTLY SATISFIED","MARRIED","NO"
"FEMALE",64,"Mazowieckie","RURAL AREAS",9,750,"MIXED","MARRIED","NO"
"FEMALE",19,"Podkarpackie","URBAN 100,000-200,000",3,NA,"MOSTLY SATISFIED","SINGLE","NO"
"MALE",30,"Mazowieckie","RURAL AREAS",1,3500,"PLEASED","MARRIED","NO"
"FEMALE",58,"Zachodnio-pomorskie","URBAN 100,000-200,000",10,1200,"MIXED","DIVORCED","NO"
"FEMALE",20,"Slaskie","URBAN 100,000-200,000",1,NA,"MOSTLY SATISFIED","SINGLE",NA
"FEMALE",55,"Zachodnio-pomorskie","RURAL AREAS",1,NA,"PLEASED","MARRIED","NO"
"FEMALE",75,"Warminsko-mazurskie","RURAL AREAS",14,953,"MOSTLY DISSATISFIED","DIVORCED","NO"
"FEMALE",58,"Malopolskie","RURAL AREAS",8,680,"MOSTLY SATISFIED","MARRIED","NO"
"FEMALE",45,"Slaskie","URBAN 20,000-100,000",5,1000,"MIXED","MARRIED","NO"
"FEMALE",43,"Kujawsko-pomorskie","RURAL AREAS",15,3000,"MOSTLY DISSATISFIED","MARRIED","NO"
"MALE",56,"Lubelskie","RURAL AREAS",9,100,"TERRIBLE","WIDOWED","NO"
"MALE",39,"Zachodnio-pomorskie","RURAL AREAS",4,1100,"MOSTLY DISSATISFIED","SINGLE","NO"
"FEMALE",38,"Warminsko-mazurskie","RURAL AREAS",0,1000,"MOSTLY SATISFIED","MARRIED","NO"
"FEMALE",44,"Zachodnio-pomorskie","RURAL AREAS",1,2000,"PLEASED","MARRIED","NO"
"MALE",62,"Opolskie","URBAN 100,000-200,000",11,3500,"MIXED","MARRIED","NO"
"MALE",42,"Malopolskie","RURAL AREAS",1,2000,"MIXED","SINGLE","NO"
"MALE",26,"Malopolskie","RURAL AREAS",3,-8,"MIXED","SINGLE","YES"
"FEMALE",67,"Podkarpackie","RURAL AREAS",3,1880,"MOSTLY SATISFIED","MARRIED","NO"
"MALE",30,"Wielkopolskie","RURAL AREAS",1,2420,"MIXED","MARRIED","NO"
"MALE",39,"Malopolskie","RURAL AREAS",0,3000,"PLEASED","MARRIED","NO"
"FEMALE",70,"Mazowieckie","URBAN 500,000 AND OVER",1,1448,"MOSTLY SATISFIED","WIDOWED","NO"
"FEMALE",55,"Zachodnio-pomorskie","URBAN BELOW 20,000",7,2400,"MOSTLY SATISFIED","WIDOWED","NO"
"FEMALE",48,"Wielkopolskie","URBAN BELOW 20,000",6,1200,"MOSTLY SATISFIED","MARRIED","NO"
"MALE",35,"Pomorskie","URBAN 20,000-100,000",3,15000,"PLEASED","MARRIED","YES"
"FEMALE",78,"Slaskie","URBAN 100,000-200,000",NA,-8,"MIXED","WIDOWED","NO"
"MALE",46,"Mazowieckie","URBAN 500,000 AND OVER",0,3500,"PLEASED","MARRIED","NO"
"MALE",50,"Mazowieckie","URBAN BELOW 20,000",8,560,"MOSTLY DISSATISFIED","SINGLE","NO"
"MALE",44,"Malopolskie","RURAL AREAS",5,300,"MIXED","MARRIED","NO"
"FEMALE",18,"Slaskie","RURAL AREAS",3,-8,"MOSTLY SATISFIED","SINGLE",NA
"FEMALE",32,"Kujawsko-pomorskie","URBAN BELOW 20,000",4,NA,"PLEASED","MARRIED","NO"
"FEMALE",56,"Malopolskie","RURAL AREAS",3,1700,"MIXED","MARRIED","NO"
"MALE",62,"Warminsko-mazurskie","RURAL AREAS",9,750,"MIXED","MARRIED","NO"
"FEMALE",29,"Zachodnio-pomorskie","URBAN 20,000-100,000",0,1300,"PLEASED","MARRIED","NO"
"FEMALE",39,"Wielkopolskie","RURAL AREAS",3,900,"PLEASED","WIDOWED","NO"
"MALE",56,"Mazowieckie","RURAL AREAS",4,1500,"PLEASED","MARRIED","NO"
"FEMALE",61,"Lubuskie","URBAN 200,000-500,000",1,1800,"PLEASED","MARRIED","NO"
"FEMALE",61,"Mazowieckie","URBAN 100,000-200,000",2,800,"DELIGHTED","MARRIED","NO"
"FEMALE",86,"Opolskie","RURAL AREAS",10,800,"MOSTLY SATISFIED","WIDOWED","NO"
"MALE",52,"Opolskie","URBAN BELOW 20,000",0,1500,"MOSTLY SATISFIED","MARRIED","NO"
"FEMALE",51,"Dolnoslaskie","URBAN BELOW 20,000",6,520,"MOSTLY DISSATISFIED","MARRIED","NO"
"MALE",24,"Malopolskie","RURAL AREAS",0,-8,"MOSTLY SATISFIED","SINGLE","NO"
"MALE",54,"Mazowieckie","URBAN BELOW 20,000",11,7000,"MIXED","MARRIED","YES"
"MALE",75,"Mazowieckie","URBAN 100,000-200,000",5,1700,"MOSTLY SATISFIED","MARRIED","NO"
"FEMALE",70,"Zachodnio-pomorskie","URBAN 20,000-100,000",9,1050,"PLEASED","MARRIED","NO"
"FEMALE",40,"Podlaskie","URBAN 20,000-100,000",4,1400,"PLEASED","MARRIED","NO"
"MALE",30,"Mazowieckie","RURAL AREAS",0,1500,"MOSTLY SATISFIED","MARRIED","NO"
"FEMALE",35,"Zachodnio-pomorskie","URBAN 20,000-100,000",2,2000,"PLEASED","MARRIED","NO"
"MALE",50,"Wielkopolskie","URBAN 200,000-500,000",5,3000,"PLEASED","MARRIED","NO"
"MALE",19,"Lodzkie","RURAL AREAS",0,NA,"MOSTLY SATISFIED","SINGLE",NA
"FEMALE",43,"Swietokrzyskie","RURAL AREAS",6,1700,"PLEASED","MARRIED","NO"
"FEMALE",41,"Podlaskie","URBAN 20,000-100,000",3,2100,"PLEASED","SINGLE","NO"
"MALE",55,"Opolskie","URBAN BELOW 20,000",0,1300,"PLEASED","MARRIED","NO"
"FEMALE",43,"Lodzkie","RURAL AREAS",8,1000,"MOSTLY DISSATISFIED","WIDOWED","NO"
"MALE",51,"Slaskie","RURAL AREAS",1,2500,"MOSTLY SATISFIED","MARRIED","NO"
"FEMALE",76,"Zachodnio-pomorskie","URBAN BELOW 20,000",7,800,"DELIGHTED","MARRIED","NO"
"FEMALE",36,"Lubelskie","URBAN 20,000-100,000",0,1000,"PLEASED","MARRIED","NO"
"FEMALE",29,"Pomorskie","RURAL AREAS",1,500,"PLEASED","MARRIED","NO"
"FEMALE",55,"Wielkopolskie","URBAN 100,000-200,000",9,NA,"PLEASED","MARRIED","NO"
"MALE",27,"Malopolskie","URBAN 500,000 AND OVER",0,1900,"PLEASED","SINGLE","NO"
"FEMALE",27,"Warminsko-mazurskie","RURAL AREAS",8,NA,"MOSTLY SATISFIED","MARRIED","NO"
"FEMALE",50,"Dolnoslaskie","URBAN 500,000 AND OVER",3,1500,"MIXED","DIVORCED","NO"
"FEMALE",24,"Slaskie","URBAN 100,000-200,000",0,1000,"PLEASED","SINGLE",NA
"FEMALE",63,"Kujawsko-pomorskie","RURAL AREAS",13,1500,"MOSTLY SATISFIED","MARRIED","NO"
"MALE",30,"Podkarpackie","URBAN BELOW 20,000",2,1400,"MOSTLY SATISFIED","SINGLE","YES"
"FEMALE",59,"Lubuskie","URBAN 100,000-200,000",8,1392,"MIXED","MARRIED","NO"
"FEMALE",25,"Lubelskie","URBAN 20,000-100,000",4,1500,"PLEASED","SINGLE","NO"
"FEMALE",55,"Kujawsko-pomorskie","URBAN 100,000-200,000",6,2300,"MOSTLY SATISFIED","MARRIED","NO"
"FEMALE",44,"Dolnoslaskie","URBAN 200,000-500,000",1,1600,"MOSTLY SATISFIED","MARRIED","NO"
"FEMALE",56,"Swietokrzyskie","RURAL AREAS",5,1000,"PLEASED","MARRIED","NO"
"FEMALE",48,"Wielkopolskie","URBAN 500,000 AND OVER",4,1500,"PLEASED","MARRIED","NO"
"FEMALE",24,"Lubelskie","RURAL AREAS",0,1000,"MOSTLY SATISFIED","MARRIED","NO"
"MALE",24,"Malopolskie","RURAL AREAS",3,1800,"MOSTLY DISSATISFIED","SINGLE","NO"
"MALE",46,"Podkarpackie","RURAL AREAS",3,1500,"PLEASED","MARRIED","NO"
"FEMALE",36,"Lodzkie","URBAN 500,000 AND OVER",0,1500,"PLEASED","SINGLE","NO"
"FEMALE",18,"Warminsko-mazurskie","RURAL AREAS",0,NA,"DELIGHTED","SINGLE",NA
"MALE",27,"Pomorskie","RURAL AREAS",0,1076,"PLEASED","MARRIED","YES"
"FEMALE",19,"Wielkopolskie","URBAN BELOW 20,000",3,-8,"PLEASED","SINGLE",NA
"FEMALE",34,"Mazowieckie","URBAN BELOW 20,000",0,8255,"PLEASED","MARRIED","NO"
"FEMALE",53,"Lubuskie","URBAN 200,000-500,000",9,1200,"MIXED","MARRIED","NO"
"MALE",66,"Slaskie","URBAN 200,000-500,000",1,3000,"PLEASED","MARRIED","NO"
"FEMALE",62,"Podkarpackie","URBAN 100,000-200,000",7,1000,"PLEASED","MARRIED","NO"
"FEMALE",51,"Podkarpackie","RURAL AREAS",3,800,"MOSTLY SATISFIED","MARRIED","NO"
"FEMALE",76,"Lodzkie","RURAL AREAS",10,1100,"MIXED","WIDOWED","NO"
"MALE",38,"Podlaskie","RURAL AREAS",2,800,"MOSTLY SATISFIED","MARRIED","NO"
"FEMALE",37,"Zachodnio-pomorskie","URBAN 100,000-200,000",0,4200,"MOSTLY SATISFIED","DE FACTO SEPARATED","NO"
"MALE",38,"Swietokrzyskie","RURAL AREAS",0,600,"MIXED","MARRIED","NO"
"MALE",52,"Malopolskie","RURAL AREAS",1,NA,"MIXED","SINGLE","NO"
"FEMALE",56,"Wielkopolskie","URBAN 500,000 AND OVER",0,NA,"PLEASED","MARRIED","NO"
"MALE",57,"Swietokrzyskie","URBAN 100,000-200,000",2,860,"MOSTLY SATISFIED","MARRIED","NO"
"FEMALE",43,"Lubuskie","URBAN 100,000-200,000",4,2300,"PLEASED","MARRIED","NO"
"MALE",23,"Slaskie","RURAL AREAS",0,NA,"PLEASED","SINGLE","NO"
"FEMALE",65,"Kujawsko-pomorskie","URBAN 20,000-100,000",2,4200,"PLEASED","WIDOWED","NO"
"MALE",50,"Kujawsko-pomorskie","RURAL AREAS",4,2000,"PLEASED","MARRIED","NO"
"MALE",35,"Slaskie","RURAL AREAS",1,600,"MOSTLY SATISFIED","MARRIED","YES"
"FEMALE",63,"Lubuskie","RURAL AREAS",14,660,"MOSTLY SATISFIED","MARRIED","NO"
"MALE",47,"Dolnoslaskie","URBAN 100,000-200,000",0,-8,"MOSTLY SATISFIED","MARRIED","NO"
"FEMALE",60,"Lodzkie","URBAN 100,000-200,000",1,1300,"PLEASED","MARRIED","NO"
"FEMALE",17,"Malopolskie","RURAL AREAS",6,NA,"PLEASED","SINGLE","NO"
"FEMALE",50,"Dolnoslaskie","RURAL AREAS",3,1000,"PLEASED","MARRIED","NO"
"FEMALE",81,"Mazowieckie","URBAN 500,000 AND OVER",12,1480,"PLEASED","WIDOWED","NO"
"FEMALE",39,"Opolskie","URBAN BELOW 20,000",2,NA,"MOSTLY SATISFIED","MARRIED","NO"
"MALE",69,"Podkarpackie","URBAN BELOW 20,000",9,960,"PLEASED","MARRIED","NO"
"FEMALE",33,"Lubuskie","URBAN BELOW 20,000",0,1400,"PLEASED","MARRIED","NO"
