"sex","age","region","placesize","depress","income","ls","marital","workab"
"FEMALE",39,"Wielkopolskie","RURAL AREAS",3,-8,"MOSTLY SATISFIED","SINGLE","NO"
"MALE",26,"Wielkopolskie","URBAN 100,000-200,000",0,NA,"MIXED","SINGLE","NO"
"MALE",64,"Slaskie","RURAL AREAS",10,900,"MOSTLY SATISFIED","MARRIED","NO"
"MALE",45,"Mazowieckie","RURAL AREAS",6,NA,"MOSTLY SATISFIED","SINGLE",NA
"FEMALE",62,"Slaskie","RURAL AREAS",7,-8,"PLEASED","MARRIED","NO"
"MALE",61,"Podkarpackie","URBAN 100,000-200,000",4,3400,"MOSTLY SATISFIED","MARRIED","NO"
"FEMALE",37,"Slaskie","RURAL AREAS",0,-8,"MOSTLY SATISFIED","MARRIED","NO"
"MALE",70,"Dolnoslaskie","URBAN 200,000-500,000",8,1200,"MIXED","WIDOWED","NO"
"MALE",49,"Wielkopolskie","RURAL AREAS",8,2000,"PLEASED","MARRIED","NO"
"MALE",30,"Lubelskie","URBAN 100,000-200,000",3,-8,"MIXED","SINGLE","NO"
"MALE",35,"Podlaskie","RURAL AREAS",7,500,"MIXED","SINGLE","NO"
"FEMALE",18,"Zachodnio-pomorskie","RURAL AREAS",4,NA,"MOSTLY SATISFIED","SINGLE",NA
"MALE",21,"Mazowieckie","RURAL AREAS",0,1600,"PLEASED","SINGLE","NO"
"MALE",74,"Kujawsko-pomorskie","URBAN 20,000-100,000",5,745,"MOSTLY SATISFIED","MARRIED","NO"
"FEMALE",46,"Mazowieckie","RURAL AREAS",6,2000,"MIXED","MARRIED","NO"
"MALE",32,"Pomorskie","RURAL AREAS",1,4000,"PLEASED","MARRIED","NO"
"FEMALE",28,"Dolnoslaskie","URBAN 500,000 AND OVER",0,4000,"PLEASED","SINGLE","NO"
"FEMALE",17,"Opolskie","URBAN BELOW 20,000",0,NA,"MOSTLY SATISFIED","SINGLE","NO"
"FEMALE",56,"Pomorskie","URBAN 100,000-200,000",3,-8,"MOSTLY SATISFIED","MARRIED","YES"
"FEMALE",64,"Mazowieckie","URBAN 100,000-200,000",18,2000,"MOSTLY SATISFIED","MARRIED","NO"
"FEMALE",75,"Mazowieckie","RURAL AREAS",9,1070,"MOSTLY SATISFIED","WIDOWED","NO"
"FEMALE",48,"Pomorskie","URBAN 20,000-100,000",0,1500,"PLEASED","MARRIED","NO"
"MALE",36,"Zachodnio-pomorskie","RURAL AREAS",6,1000,"MOSTLY DISSATISFIED","MARRIED","NO"
"FEMALE",33,"Malopolskie","RURAL AREAS",0,NA,"MOSTLY SATISFIED","MARRIED","NO"
"MALE",57,"Zachodnio-pomorskie","URBAN 100,000-200,000",5,-8,"MIXED","MARRIED","NO"
"MALE",19,"Mazowieckie","URBAN BELOW 20,000",3,NA,"MIXED","SINGLE",NA
"FEMALE",51,"Warminsko-mazurskie","URBAN BELOW 20,000",9,1200,"MOSTLY DISSATISFIED","SINGLE","NO"
"FEMALE",16,"Kujawsko-pomorskie","RURAL AREAS",0,NA,"MOSTLY SATISFIED","SINGLE",NA
"MALE",60,"Mazowieckie","RURAL AREAS",6,400,"MIXED","MARRIED","NO"
"FEMALE",58,"Slaskie","RURAL AREAS",10,700,"TERRIBLE","DIVORCED","NO"
"FEMALE",52,"Swietokrzyskie","URBAN BELOW 20,000",5,1000,"PLEASED","MARRIED","NO"
"FEMALE",61,"Zachodnio-pomorskie","RURAL AREAS",7,730,"MIXED","MARRIED","NO"
"MALE",47,"Warminsko-mazurskie","RURAL AREAS",3,2600,"PLEASED","MARRIED","NO"
"MALE",58,"Mazowieckie","URBAN BELOW 20,000",6,1200,"MOSTLY SATISFIED","MARRIED","YES"
"MALE",64,"Slaskie","URBAN 20,000-100,000",2,900,"PLEASED","MARRIED",NA
"FEMALE",28,"Lodzkie","RURAL AREAS",0,NA,"MOSTLY SATISFIED","MARRIED","NO"
"FEMALE",58,"Zachodnio-pomorskie","URBAN BELOW 20,000",6,3500,"MOSTLY SATISFIED","MARRIED","NO"
"MALE",62,"Kujawsko-pomorskie","URBAN BELOW 20,000",10,1200,"PLEASED","MARRIED","NO"
"FEMALE",47,"Lubelskie","RURAL AREAS",13,2000,"DELIGHTED","MARRIED","NO"
"MALE",22,"Lodzkie","URBAN 100,000-200,000",1,NA,"PLEASED","SINGLE",NA
"FEMALE",16,"Slaskie","URBAN 100,000-200,000",0,-8,"PLEASED","SINGLE","NO"
"MALE",62,"Opolskie","URBAN 100,000-200,000",11,1400,"MOSTLY SATISFIED","MARRIED","NO"
"FEMALE",17,"Wielkopolskie","RURAL AREAS",0,NA,"PLEASED","SINGLE",NA
"FEMALE",47,"Mazowieckie","URBAN 100,000-200,000",2,1200,"MOSTLY SATISFIED","MARRIED","NO"
"FEMALE",36,"Lubelskie","RURAL AREAS",1,100,"PLEASED","MARRIED","NO"
"FEMALE",37,"Dolnoslaskie","URBAN 100,000-200,000",7,1500,"MOSTLY DISSATISFIED","DIVORCED","NO"
"MALE",76,"Opolskie","RURAL AREAS",0,-8,"PLEASED","MARRIED","NO"
"FEMALE",78,"Pomorskie","RURAL AREAS",15,600,"PLEASED","MARRIED","NO"
"MALE",61,"Malopolskie","RURAL AREAS",13,750,"PLEASED","MARRIED","NO"
"FEMALE",32,"Dolnoslaskie","RURAL AREAS",5,NA,"PLEASED","MARRIED","NO"
"FEMALE",79,"Pomorskie","URBAN 20,000-100,000",10,1700,"MIXED","WIDOWED","NO"
"MALE",63,"Mazowieckie","URBAN 500,000 AND OVER",9,2500,"PLEASED","MARRIED","NO"
